BRON:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

SOURCE:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)

# Central Netherlands Temperature v6
# mean of De Bilt, Winterswijk/Hupsel, Oudenbosch/Gilze-Rijen, Gemert/Volkel, Deelen, Eindhoven
# breaks have been corrected to modern observations.
# CNT [Celsius]

YEAR,       Jan,          Feb,          Mar,          Apr,          May,          Jun,          Jul,          Aug,          Sep,          Oct,          Nov,          Dec    
 1964   0.30331       3.54356       2.77298       8.91505      14.47640      15.62260      17.24930      16.36120      14.41770       7.94842       6.22574       2.29733
 1965   2.57312       1.58238       4.41406       7.60094      12.01400      15.02740      14.76030      15.47460      13.00380       9.96631       2.66763       4.31270
 1966   0.13845       4.70291       4.96774       8.72322      13.21620      16.87130      15.52460      15.90400      13.92410      11.20220       4.14261       4.17218
 1967   3.07324       4.95620       6.55030       7.32139      12.74590      14.59790      18.46450      16.51440      14.16060      11.60250       4.86006       2.75100
 1968   1.65348       1.40810       6.04687       9.61472      11.03860      15.49500      16.30900      16.95880      14.42920      11.75330       4.97061      -0.08764
 1969   4.27365      -0.28186       2.48490       7.98071      12.99410      15.21000      18.21660      17.50700      14.73280      12.44350       6.25060      -1.70529
 1970   0.74798       0.87491       2.69438       5.99765      13.13480      17.69740      15.87570      17.11910      14.40280      10.52790       7.43099       2.13200
 1971   2.30061       3.57029       2.51417       8.23126      14.07400      14.08610      17.58240      17.23980      12.91520      10.14180       5.03943       5.17544
 1972   0.60061       3.75362       6.31417       7.61460      11.85730      13.66940      17.29910      15.60640      11.61520       8.75842       5.75610       3.39211
 1973   2.66728       2.63695       5.11417       6.04793      12.30730      16.38600      17.13240      18.00640      14.66520       8.77509       5.15610       2.57544
 1974   5.28395       4.45362       5.64750       9.08126      11.65730      14.90270      15.38240      16.50640      12.83190       6.79176       6.43943       7.04211
 1975   6.28395       3.23695       4.59750       7.46460      11.22400      15.18600      17.91580      19.68980      15.26520       8.50842       5.05610       2.89211
 1976   3.77763       2.90158       3.04786       7.44740      13.55150      18.20580      19.44620      17.96950      13.79770      11.14410       6.49357       1.01536
 1977   2.62763       4.76825       7.11452       6.43074      11.91810      14.62240      16.82950      15.95280      12.99770      11.37740       6.49357       4.74869
 1978   2.81096       0.91824       6.24786       7.04740      12.26810      14.85580      15.31280      15.10280      13.38100      10.61080       5.89357       1.83203
 1979  -3.47237      -1.11509       4.68119       7.74740      11.86810      15.22240      15.91280      15.40280      13.43100      10.76080       5.36024       5.26536
